ox_code	population
AJ0097-C	GWA
AJ0098-C	GWA
AJ0100-C	GWA
AJ0101-C	GWA
AJ0102-C	GWA
AJ0103-C	GWA
AJ0105-C	GWA
AJ0107-C	GWA
AJ0109-C	GWA
AJ0113-C	GWA
AJ0115-C	GWA
AJ0116-C	GWA
AK0065-C	KES
AK0066-C	KES
AK0067-C	KES
AK0068-C	KES
AK0069-C	KES
AK0070-C	KES
AK0072-C	KES
AK0073-C	KES
AK0074-C	KES
AK0075-C	KES
AK0076-C	KES
AK0077-C	KES
AK0078-C	KES
AK0079-C	KES
AK0080-C	KES
AK0081-C	KES
AK0082-C	KES
AK0085-C	KES
AK0086-C	KES
AK0087-C	KES
AK0088-C	KES
AK0089-C	KES
AK0090-C	KES
AK0091-C	KES
AK0092-C	KES
AK0093-C	KES
AK0094-C	KES
AK0095-C	KES
AK0096-C	KES
AK0098-C	KES
AK0099-C	KES
AK0100-C	KES
AK0101-C	KES
AK0102-C	KES
AK0103-C	KES
AK0104-C	KES
AK0105-C	KES
AK0106-C	KES
AK0108-C	KES
AK0109-C	KES
AK0110-C	KES
AK0116-C	KES
AK0119-C	KES
AK0127-C	KES
AN0007-C	CMS
AN0008-C	CMS
AN0009-C	CMS
AN0010-C	CMS
AN0011-C	CMS
AN0012-C	CMS
AN0014-C	CMS
AN0016-C	CMS
AN0017-C	CMS
AN0018-C	CMS
AN0019-C	CMS
AN0020-C	CMS
AN0022-C	CMS
AN0023-C	CMS
AN0024-C	CMS
AN0025-C	CMS
AN0026-C	CMS
AN0027-C	CMS
AN0028-C	CMS
AN0029-C	CMS
AN0030-C	CMS
AN0031-C	CMS
AN0032-C	CMS
AN0033-C	CMS
AN0034-C	CMS
AN0035-C	CMS
AN0036-C	CMS
AN0037-C	CMS
AN0038-C	CMS
AN0039-C	CMS
AN0040-C	CMS
AN0041-C	CMS
AN0042-C	CMS
AN0043-C	CMS
AN0045-C	CMS
AN0046-C	CMS
AN0047-C	CMS
AN0048-C	CMS
AN0049-C	CMS
AN0050-C	CMS
AN0051-C	CMS
AN0053-C	CMS
AN0054-C	CMS
AN0055-C	CMS
AN0056-C	CMS
AN0057-C	CMS
AN0058-C	CMS
AN0059-C	CMS
AN0060-C	CMS
AN0063-C	CMS
AN0064-C	CMS
AN0065-C	CMS
AN0066-C	CMS
